"AUQ040.Code.or.Value","AUQ040.Value.Description","AUQ040.Count","AUQ040.Cumulative","AUQ040.Skip.to.Item"
"1 to 24","Range of Values",531,531,NA
"77","SP refused",0,531,NA
"99","Don't know",4,535,NA
".","Missing",1833,2368,NA
