"URDPHGLC.Code.or.Value","URDPHGLC.Value.Description","URDPHGLC.Count","URDPHGLC.Cumulative","URDPHGLC.Skip.to.Item"
"0","At or above the detection limit",2991,2991,NA
"1","Below lower detection limit",22,3013,NA
".","Missing",266,3279,NA
