"WBXA085.Code.or.Value","WBXA085.Value.Description","WBXA085.Count","WBXA085.Cumulative","WBXA085.Skip.to.Item"
"-8.9269 to 0.9987","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
