"LBCBR8.Code.or.Value","LBCBR8.Value.Description","LBCBR8.Count","LBCBR8.Cumulative","LBCBR8.Skip.to.Item"
"1.8 to 29.2","Range of Values",264,264,NA
".","Missing",0,264,NA
