"VTQ220.Code.or.Value","VTQ220.Value.Description","VTQ220.Count","VTQ220.Cumulative","VTQ220.Skip.to.Item"
"1","Yes",167,167,NA
"2","No",1290,1457,NA
"7","Refused",2,1459,NA
"9","Don't know",5,1464,NA
".","Missing",25,1489,NA
