"URXCYM.Code.or.Value","URXCYM.Value.Description","URXCYM.Count","URXCYM.Cumulative","URXCYM.Skip.to.Item"
"0.354 to 1600","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
