"WBXA020.Code.or.Value","WBXA020.Value.Description","WBXA020.Count","WBXA020.Cumulative","WBXA020.Skip.to.Item"
"-14.2008 to 0.9997","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
