"TYXP006.Code.or.Value","TYXP006.Value.Description","TYXP006.Count","TYXP006.Cumulative","TYXP006.Skip.to.Item"
"131 to 198","Range of Values",5584,5584,NA
".","Missing",1,5585,NA
