"LBDMPAHL.Code.or.Value","LBDMPAHL.Value.Description","LBDMPAHL.Count","LBDMPAHL.Cumulative","LBDMPAHL.Skip.to.Item"
"0","At or above the detection limit",1139,1139,NA
"1","Below lower detection limit",790,1929,NA
".","Missing",204,2133,NA
