"HUQ030.Code.or.Value","HUQ030.Value.Description","HUQ030.Count","HUQ030.Cumulative","HUQ030.Skip.to.Item"
"1","Yes",7805,7805,""
"2","There is no place",1398,9203,"HUQ051"
"3","There is more than one place",49,9252,""
"7","Refused",0,9252,"HUQ051"
"9","Don't know",2,9254,"HUQ051"
".","Missing",0,9254,""
