"HSQ510.Code.or.Value","HSQ510.Value.Description","HSQ510.Count","HSQ510.Cumulative","HSQ510.Skip.to.Item"
"1","Yes",635,635,NA
"2","No",7498,8133,NA
"7","Refused",4,8137,NA
"9","Don't know",27,8164,NA
".","Missing",1001,9165,NA
