"KIQ029.Code.or.Value","KIQ029.Value.Description","KIQ029.Count","KIQ029.Cumulative","KIQ029.Skip.to.Item"
"1","Yes",88,88,NA
"2","No",517,605,NA
"7","Refused",0,605,NA
"9","Don't know",1,606,NA
".","Missing",5113,5719,NA
