"DR2IS060.Code.or.Value","DR2IS060.Value.Description","DR2IS060.Count","DR2IS060.Cumulative","DR2IS060.Skip.to.Item"
"0 to 3.427","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
