"HCQ140E.Code.or.Value","HCQ140E.Value.Description","HCQ140E.Count","HCQ140E.Cumulative","HCQ140E.Skip.to.Item"
"1","Yes",1,1,NA
"2","No",1,2,NA
"7","Refused",0,2,NA
"9","Don't know",0,2,NA
".","Missing",110,112,NA
