"WTSA2YR.Code.or.Value","WTSA2YR.Value.Description","WTSA2YR.Count","WTSA2YR.Cumulative","WTSA2YR.Skip.to.Item"
"0 to 530325.34726","Range of Values",2755,2755,NA
".","Missing",0,2755,NA
