"AUXRR210.Code.or.Value","AUXRR210.Value.Description","AUXRR210.Count","AUXRR210.Cumulative","AUXRR210.Skip.to.Item"
"-111 to 75","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
