"DR1LANG.Code.or.Value","DR1LANG.Value.Description","DR1LANG.Count","DR1LANG.Cumulative","DR1LANG.Skip.to.Item"
"1","English",8190,8190,NA
"2","Spanish",1405,9595,NA
"3","English and Spanish",195,9790,NA
"4","Other",34,9824,NA
".","Missing",429,10253,NA
