"AUDTYR20.Code.or.Value","AUDTYR20.Value.Description","AUDTYR20.Count","AUDTYR20.Cumulative","AUDTYR20.Skip.to.Item"
"0 to 4.19","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
