"RFXC049.Code.or.Value","RFXC049.Value.Description","RFXC049.Count","RFXC049.Cumulative","RFXC049.Skip.to.Item"
"-7.874 to 4.02","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
