"AUXLR132.Code.or.Value","AUXLR132.Value.Description","AUXLR132.Count","AUXLR132.Cumulative","AUXLR132.Skip.to.Item"
"-40 to 98","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
