"AUXRR167.Code.or.Value","AUXRR167.Value.Description","AUXRR167.Count","AUXRR167.Cumulative","AUXRR167.Skip.to.Item"
"-6 to 56","Range of Values",1878,1878,NA
".","Missing",168,2046,NA
