"SSMETSI.Code.or.Value","SSMETSI.Value.Description","SSMETSI.Count","SSMETSI.Cumulative","SSMETSI.Skip.to.Item"
"1.5737312812 to 205.19886608","Range of Values",1252,1252,NA
".","Missing",1,1253,NA
