"TYXP150.Code.or.Value","TYXP150.Value.Description","TYXP150.Count","TYXP150.Cumulative","TYXP150.Skip.to.Item"
"-299 to 18","Range of Values",6435,6435,NA
".","Missing",2034,8469,NA
