"MCQ180m.Code.or.Value","MCQ180m.Value.Description","MCQ180m.Count","MCQ180m.Cumulative","MCQ180m.Skip.to.Item"
"1 to 78","Range of Values",579,579,NA
"80","80 years or older",12,591,NA
"77777","Refused",0,591,NA
"99999","Don't know",10,601,NA
".","Missing",9169,9770,NA
