"BPXDI3.Code.or.Value","BPXDI3.Value.Description","BPXDI3.Count","BPXDI3.Cumulative","BPXDI3.Skip.to.Item"
"0 to 120","Range of Values",6255,6255,NA
".","Missing",3027,9282,NA
