"AUDTYR37.Code.or.Value","AUDTYR37.Value.Description","AUDTYR37.Count","AUDTYR37.Cumulative","AUDTYR37.Skip.to.Item"
"0 to 2.53","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
