"DXXANIDX.Code.or.Value","DXXANIDX.Value.Description","DXXANIDX.Count","DXXANIDX.Cumulative","DXXANIDX.Skip.to.Item"
"4","4",3276,3276,NA
".","Missing",432,3708,NA
