"ENXTR4Q.Code.or.Value","ENXTR4Q.Value.Description","ENXTR4Q.Count","ENXTR4Q.Cumulative","ENXTR4Q.Skip.to.Item"
"6 to 117","Range of Values",133,133,NA
".","Missing",8062,8195,NA
