"LBCPCBLA.Code.or.Value","LBCPCBLA.Value.Description","LBCPCBLA.Count","LBCPCBLA.Cumulative","LBCPCBLA.Skip.to.Item"
"3.72 to 188","Range of Values",246,246,NA
".","Missing",1,247,NA
