"AUXRR105.Code.or.Value","AUXRR105.Value.Description","AUXRR105.Count","AUXRR105.Cumulative","AUXRR105.Skip.to.Item"
"-125 to 42","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
