"DXDSTFAT.Code.or.Value","DXDSTFAT.Value.Description","DXDSTFAT.Count","DXDSTFAT.Cumulative","DXDSTFAT.Skip.to.Item"
"2587.6 to 100159.8","Range of Values",4544,4544,NA
".","Missing",1148,5692,NA
