"DRQ370KQ.Code.or.Value","DRQ370KQ.Value.Description","DRQ370KQ.Count","DRQ370KQ.Cumulative","DRQ370KQ.Skip.to.Item"
"1 to 12","Range of Values",152,152,NA
".","Missing",9130,9282,NA
