"CBQ698cd.Code.or.Value","CBQ698cd.Value.Description","CBQ698cd.Count","CBQ698cd.Cumulative","CBQ698cd.Skip.to.Item"
"91","Others",20,20,NA
".","Missing",5244,5264,NA
