"URDUCDLC.Code.or.Value","URDUCDLC.Value.Description","URDUCDLC.Count","URDUCDLC.Cumulative","URDUCDLC.Skip.to.Item"
"0","detectable result",2582,2582,NA
"1","below detectable result",108,2690,NA
".","Missing",114,2804,NA
