"PSQ270.Code.or.Value","PSQ270.Value.Description","PSQ270.Count","PSQ270.Cumulative","PSQ270.Skip.to.Item"
"1","True",53,53,NA
"2","False",2,55,NA
"7","Refused",0,55,NA
"9","Don't know",12,67,NA
".","Missing",54,121,NA
