"AUXRR124.Code.or.Value","AUXRR124.Value.Description","AUXRR124.Count","AUXRR124.Cumulative","AUXRR124.Skip.to.Item"
"-40 to 50","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
