"RFXC141.Code.or.Value","RFXC141.Value.Description","RFXC141.Count","RFXC141.Cumulative","RFXC141.Skip.to.Item"
"-6.609 to 7.679","Range of Values",33673,33673,NA
".","Missing",48,33721,NA
