"VTQ240A.Code.or.Value","VTQ240A.Value.Description","VTQ240A.Count","VTQ240A.Cumulative","VTQ240A.Skip.to.Item"
"1","Yes",1193,1193,""
"2","No",1925,3118,"VTQ250a"
"7","Refused",0,3118,"VTQ250a"
"9","Don't know",0,3118,"VTQ250a"
".","Missing",297,3415,""
