"DR2_320Z.Code.or.Value","DR2_320Z.Value.Description","DR2_320Z.Count","DR2_320Z.Cumulative","DR2_320Z.Skip.to.Item"
"0 to 11520","Range of Values",7574,7574,NA
".","Missing",2239,9813,NA
