"LBCHCBLA.Code.or.Value","LBCHCBLA.Value.Description","LBCHCBLA.Count","LBCHCBLA.Cumulative","LBCHCBLA.Skip.to.Item"
"4.573 to 192.4","Range of Values",301,301,NA
".","Missing",0,301,NA
