"MCQ170K.Code.or.Value","MCQ170K.Value.Description","MCQ170K.Count","MCQ170K.Cumulative","MCQ170K.Skip.to.Item"
"1","Yes",141,141,"MCQ180K"
"2","No",140,281,"MCQ180K"
"7","Refused",0,281,"MCQ180K"
"9","Don't know",9,290,"MCQ180K"
".","Missing",9532,9822,""
