"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",5367,5367,NA
"2","Spanish",252,5619,NA
"3","English and Spanish",28,5647,NA
"4","Other",7,5654,NA
"5","Asian Languages",45,5699,NA
"6","Asian Languages and English",0,5699,NA
".","Missing",0,5699,NA
