"AUXRR284.Code.or.Value","AUXRR284.Value.Description","AUXRR284.Count","AUXRR284.Cumulative","AUXRR284.Skip.to.Item"
"-11 to 66","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
