"DR1IPOTA.Code.or.Value","DR1IPOTA.Value.Description","DR1IPOTA.Count","DR1IPOTA.Cumulative","DR1IPOTA.Skip.to.Item"
"0 to 7799","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
