"URXTCC.Code.or.Value","URXTCC.Value.Description","URXTCC.Count","URXTCC.Cumulative","URXTCC.Skip.to.Item"
"0.42 to 436","Range of Values",2622,2622,NA
".","Missing",137,2759,NA
