"DXDTOFAT.Code.or.Value","DXDTOFAT.Value.Description","DXDTOFAT.Count","DXDTOFAT.Cumulative","DXDTOFAT.Skip.to.Item"
"3328.8 to 91731.8","Range of Values",5056,5056,NA
".","Missing",977,6033,NA
