"WTSPH05.Code.or.Value","WTSPH05.Value.Description","WTSPH05.Count","WTSPH05.Cumulative","WTSPH05.Skip.to.Item"
"0.0000000 to 780507.4001900","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
