"DXXINBMD.Code.or.Value","DXXINBMD.Value.Description","DXXINBMD.Count","DXXINBMD.Cumulative","DXXINBMD.Skip.to.Item"
"0.419 to 2.09","Range of Values",6076,6076,NA
".","Missing",1644,7720,NA
