"URXDEE.Code.or.Value","URXDEE.Value.Description","URXDEE.Count","URXDEE.Cumulative","URXDEE.Skip.to.Item"
"0.0587 to 8.97","Range of Values",2430,2430,NA
".","Missing",75,2505,NA
