"AUXLR215.Code.or.Value","AUXLR215.Value.Description","AUXLR215.Count","AUXLR215.Cumulative","AUXLR215.Skip.to.Item"
"-31 to 55","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
