"URDUTLLC.Code.or.Value","URDUTLLC.Value.Description","URDUTLLC.Count","URDUTLLC.Cumulative","URDUTLLC.Skip.to.Item"
"0","At or above the detection limit",2490,2490,NA
"1","Below lower detection limit",14,2504,NA
".","Missing",90,2594,NA
