"WTSPO18.Code.or.Value","WTSPO18.Value.Description","WTSPO18.Count","WTSPO18.Cumulative","WTSPO18.Skip.to.Item"
"0.0000000 to 841603.1976700","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
