"AUXR3KR.Code.or.Value","AUXR3KR.Value.Description","AUXR3KR.Count","AUXR3KR.Cumulative","AUXR3KR.Skip.to.Item"
"60 to 90","Range of Values",4,4,NA
"666","No response",0,4,NA
"888","Could not obtain",0,4,NA
".","Missing",2364,2368,NA
