"AUXRR173.Code.or.Value","AUXRR173.Value.Description","AUXRR173.Count","AUXRR173.Cumulative","AUXRR173.Skip.to.Item"
"-37 to 91","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
