"DXXINITY.Code.or.Value","DXXINITY.Value.Description","DXXINITY.Count","DXXINITY.Cumulative","DXXINITY.Skip.to.Item"
"213.4 to 851.9","Range of Values",3302,3302,NA
".","Missing",406,3708,NA
