"WHD140.Code.or.Value","WHD140.Value.Description","WHD140.Count","WHD140.Cumulative","WHD140.Skip.to.Item"
"85 to 600","Range of Values",6025,6025,NA
"7777","Refused",9,6034,NA
"9999","Don't know",69,6103,NA
".","Missing",361,6464,NA
