"DSQIZINC.Code.or.Value","DSQIZINC.Value.Description","DSQIZINC.Count","DSQIZINC.Cumulative","DSQIZINC.Skip.to.Item"
"0.02 to 450","Range of Values",2420,2420,NA
".","Missing",5849,8269,NA
