"WHQ210.Code.or.Value","WHQ210.Value.Description","WHQ210.Count","WHQ210.Cumulative","WHQ210.Skip.to.Item"
"1","Yes",1257,1257,""
"2","No",2950,4207,"WHQ105"
"7","Refused",1,4208,"WHQ105"
"9","Don't know",5,4213,"WHQ105"
".","Missing",2676,6889,""
