"URDUSRLC.Code.or.Value","URDUSRLC.Value.Description","URDUSRLC.Count","URDUSRLC.Cumulative","URDUSRLC.Skip.to.Item"
"0","At or above the detection limit",2373,2373,NA
"1","Below lower detection limit",0,2373,NA
".","Missing",89,2462,NA
