"DSQTSODI.Code.or.Value","DSQTSODI.Value.Description","DSQTSODI.Count","DSQTSODI.Cumulative","DSQTSODI.Skip.to.Item"
"0.1 to 10000","Range of Values",738,738,NA
".","Missing",9411,10149,NA
