"URXMB3.Code.or.Value","URXMB3.Value.Description","URXMB3.Count","URXMB3.Cumulative","URXMB3.Skip.to.Item"
"0.424 to 407","Range of Values",3015,3015,NA
".","Missing",264,3279,NA
