"WTSCI02.Code.or.Value","WTSCI02.Value.Description","WTSCI02.Count","WTSCI02.Cumulative","WTSCI02.Skip.to.Item"
"0 to 461961.55987","Range of Values",727,727,NA
".","Missing",51,778,NA
