"LBXHCT.Code.or.Value","LBXHCT.Value.Description","LBXHCT.Count","LBXHCT.Cumulative","LBXHCT.Skip.to.Item"
"17.9 to 56.5","Range of Values",8544,8544,NA
".","Missing",878,9422,NA
