"MPQ120h.Code.or.Value","MPQ120h.Value.Description","MPQ120h.Count","MPQ120h.Cumulative","MPQ120h.Skip.to.Item"
"17","Mid-arm - left",66,66,NA
".","Missing",4814,4880,NA
